User ID,User name,User influence,Tweet text,Tweet ID,Posting date,Retweets,Hash tags,Mentions,Links
purrfect_tales,Amnah,,"@SrBachchan we at Patient advocacy group are planning a human chain on marine drive,to spread awareness on hepatitis,it wld help if u cld RT ",http://twitter.com/purrfect_tales/status/357607442701496320,2013-07-17,64,,@SrBachchan,
prabirbhatt,Prabir Bhatt,,@SrBachchan Sikhna Bandh to Jeetna Bandh .. Loved the 1st look of 1st Promo of KBC-7 :) ,http://twitter.com/prabirbhatt/status/357222177872945152,2013-07-16,30,,@SrBachchan,
rampalarjun,arjun rampal,Highly Influential,@SrBachchan  you are and always the time ,http://twitter.com/rampalarjun/status/357986648480428033,2013-07-18,13,,@SrBachchan,
salim_merchant,salim merchant,Influential,After a crazy - fun concert in goa I'm bk  in the studio Completing the score of Satyagraha. Watch out for @SrBachchan 's performance!! ,http://twitter.com/salim_merchant/status/357746993017257984,2013-07-17,15,,@SrBachchan,
bloodhelpline,Bloodhelpline,,#Hyderabad needs 3 male AB+ve Platelets Donors @Apollo Jubilee hills Call Sumithra 09986113083 @suhelseth @ShashiTharoor @SrBachchan @BDUTT ,http://twitter.com/bloodhelpline/status/357080987609477120,2013-07-16,25,#Hyderabad,"@Apollo,@suhelseth,@ShashiTharoor,@SrBachchan,@BDUTT",
rakeyshommehra,Rakeysh Mehra,,"@FarOutAkhtar @sonamakapoor @SrBachchan Zinda song in BMB firmly Etched,Sid 's Contribution will always be be cherished and loved BW” ",http://twitter.com/rakeyshommehra/status/357092193980256257,2013-07-16,13,,"@FarOutAkhtar,@sonamakapoor,@SrBachchan",
bloodhelpline,Bloodhelpline,,#CHANDIGARH needs O-ve bld @PGI Sec12 Call 9411342546 @bloodhelpline @suhelseth @quizderek @ShashiTharoor @BDUTT @ndtv @SrBachchan @iam_juhi ,http://twitter.com/bloodhelpline/status/355983294799683584,2013-07-13,16,#CHANDIGARH,"@PGI,@bloodhelpline,@suhelseth,@quizderek,@ShashiTharoor,@BDUTT,@ndtv,@SrBachchan,@iam_juhi",
msweera,Weera,,@SrBachchan sir if u don't have money then who has it? :( ,http://twitter.com/msweera/status/356331203990786048,2013-07-14,13,,@SrBachchan,
srbachchan,Amitabh Bachchan,Highly Influential,"T 1170 -Go to  and listen to 'Alvida' and 'ek Ghadi' .. from the film ""D-Day"" simply intoxicating !! ",http://twitter.com/srbachchan/status/356859419931316226,2013-07-15,795,,,
priscilla__pfan,Nicholas Pouros,,Both films Anand & Namak Haram Amitji won the best supporting actor @SrBachchan AB & Shatru at 19th Filmfare Awards  ,http://twitter.com/priscilla__pfan/status/357906458853126146,2013-07-18,34,,@SrBachchan,http://t.co/ZivH6ecNRJ
pateldevansh,Devansh Patel,Influential,Coca Cola's tribute to PRAN Saab. Wow! @SrBachchan  ,http://twitter.com/pateldevansh/status/357441146961661952,2013-07-17,15,,@SrBachchan,http://t.co/COQ5lgJdDD
shumyl,Shméagol,," RT @SrBachchan Place 2 straws in your mouth, one inside a drink and the other on outside, you won't be able to .... ",http://twitter.com/shumyl/status/356861813364764675,2013-07-15,10,,@SrBachchan,
pateldevansh,Devansh Patel,Influential,Coca Cola's tribute to PRAN Saab. Wow! @SrBachchan  ,http://twitter.com/pateldevansh/status/357441146961661952,2013-07-17,11,,@SrBachchan,http://t.co/COQ5lgJdDD
nickadvani,Nikhil Advani,,Thank you @SrBachchan. I met the unit of #DDay after you saw the film and everyone only wanted to know what you thought. You inspire us!!! ,http://twitter.com/nickadvani/status/357972799702302721,2013-07-18,10,#DDay,@SrBachchan,
hguptapolicy,Harsh Gupta,,"+1 RT @SrBachchan ""Talent is God given. Be humble. Fame is man-given. Be grateful. Conceit is self-given. Be careful"" ",http://twitter.com/hguptapolicy/status/357027355690143745,2013-07-16,9,,@SrBachchan,
shankar_live,Shankar Mahadevan,,@SrBachchan sir just read your blog and am so touched !! I am so glad that the song O Rangrez has got it's recognition from you !! Love u ,http://twitter.com/shankar_live/status/357960193021198336,2013-07-18,8,,@SrBachchan,
maheshbabu_fc,Maheshbabu Fan Club,Influential,Superstar @urstrulymahesh with @SrBachchan  ,http://twitter.com/maheshbabu_fc/status/356406485363871744,2013-07-14,8,,"@urstrulymahesh,@SrBachchan",http://t.co/jpDpyKXEZg
rampalarjun,arjun rampal,Highly Influential,Thanks MosesRT @MosesSapir: @SrBachchan @rampalarjun @nickadvani at the special screening of 'D-Day'  ,http://twitter.com/rampalarjun/status/358101045446057986,2013-07-18,12,,"@MosesSapir,@SrBachchan,@rampalarjun,@nickadvani",http://t.co/SQPTE1pgAO
nikonindia,Nikon India Official,,"""I want to see @SrBachchan's acting live #ThroughTheLens"".  Tell us your wish & stand a chance to win Camera/Goodies. #Contest #Photography ",http://twitter.com/nikonindia/status/357483426263203843,2013-07-17,6,"#ThroughTheLens,#Contest,#Photography",@SrBachchan,
imamsiddique,IMAM,,"Salaam Namastey @SrBachchan; @BeingSalmanKhan; @IAMSRK. May I request you to please Like,Share & RT? #TIMEOUTWITHIMAM  ",http://twitter.com/imamsiddique/status/356328703434821634,2013-07-14,19,#TIMEOUTWITHIMAM,"@SrBachchan,@BeingSalmanKhan,@IAMSRK",http://t.co/SB4gnnT9GY
imamsiddique,IMAM,,"Salaam Namastey @SrBachchan; @BeingSalmanKhan; @IAMSRK. May I request you to please Like,Share & RT? #TIMEOUTWITHIMAM  ",http://twitter.com/imamsiddique/status/356328703434821634,2013-07-14,19,#TIMEOUTWITHIMAM,"@SrBachchan,@BeingSalmanKhan,@IAMSRK",http://t.co/SB4gnnT9GY
pritishnandy,Pritish Nandy,Highly Influential,Light read: Preparing for #FarhanAkhtar's next movie: Shadi Ke Side Effects:  @PritishNandy @SrBachchan @shekharkapur ,http://twitter.com/pritishnandy/status/357716359959945217,2013-07-17,5,#FarhanAkhtar,"@PritishNandy,@SrBachchan,@shekharkapur",http://t.co/WhCz3jaNUs
shailav_,Shailav,Influential,Amitabh Bachchan @SrBachchan SRK @iamsrk  On Guest List for Centenary Celebrations -   ,http://twitter.com/shailav_/status/356753162008408066,2013-07-15,13,,"@SrBachchan,@iamsrk","http://t.co/UaVsRsDe3X,http://t.co/m4QTU5ALFj"
santosh11589665,santosh kumar,,@ShoojitSircar to make a biopic on @SrBachchan ,http://twitter.com/santosh11589665/status/358468709611880448,2013-07-20,7,,"@ShoojitSircar,@SrBachchan",
rampalarjun,arjun rampal,Highly Influential,Thanks MosesRT @MosesSapir: @SrBachchan @rampalarjun @nickadvani at the special screening of 'D-Day'  ,http://twitter.com/rampalarjun/status/358101045446057986,2013-07-18,7,,"@MosesSapir,@SrBachchan,@rampalarjun,@nickadvani",http://t.co/SQPTE1pgAO
vipintiwari4384,Vipin tiwari,,"NEW EXCLUSIVE  ► SATYAGRAHA Poster ft. @AmritaRaoTweetz , @srbachchan, @ajaydevgan, @rampalarjun, Kareena Kapoor,.. ",http://twitter.com/vipintiwari4384/status/356429492304089088,2013-07-14,9,,"@AmritaRaoTweetz,@srbachchan,@ajaydevgan,@rampalarjun",
realradikaa,Radikaa Sarathkumar,Influential,"“@SrBachchan: T 1170 -""Talent is God given. Be humble. Fame is man-given. Be grateful. Conceit is self-given. Be careful.""~”HOW TRUE ",http://twitter.com/realradikaa/status/357026556511666176,2013-07-15,5,,,
shankar_live,Shankar Mahadevan,,"@SrBachchan sirrrrr!!!!!! Am so touched that you not only heard it , but also wrote about it !! A million hugs :):) ",http://twitter.com/shankar_live/status/356881700871094273,2013-07-15,4,,@SrBachchan,
mikasingh,King Mika Singh,,"Truly said The bigger the man,the most down to earth he is.proved by the god of Bollywood himself @SrBachchan!! Grt 2 meet you after long🙏 ",http://twitter.com/mikasingh/status/357907766158962691,2013-07-18,10,,@SrBachchan,
nagaprabhala,sudheerprabhala,,"@SrBachchan  Amitji, it is Telugu not Telegu. Hope you will make a note of it in future ",http://twitter.com/nagaprabhala/status/357023478085464064,2013-07-15,4,,@SrBachchan,
pratikkargupta1,Deep Kargupta,,@SrBachchan and #pran saheb make the best characters pair on screen. Now watching #majboor :) remembering zanjeer too! ,http://twitter.com/pratikkargupta1/status/355993869894164480,2013-07-19,16,"#pran,#majboor",@SrBachchan,
mikasingh,King Mika Singh,,"Truly said The bigger the man,the most down to earth he is.proved by the god of Bollywood himself @SrBachchan!! Grt 2 meet you after long🙏 ",http://twitter.com/mikasingh/status/357907766158962691,2013-07-18,10,,@SrBachchan,
meghnaghaipuri,Meghna Ghai Puri,,Beautiful paintings of @SrBachchan @SubhashGhai1 as a gift from a Student after the Convocation @whistling_woods  ,http://twitter.com/meghnaghaipuri/status/357503663377367041,2013-07-17,6,,"@SrBachchan,@SubhashGhai1,@whistling_woods",http://t.co/YtMAOlo7Av
nagaprabhala,sudheerprabhala,,"@SrBachchan  Amitji, it is Telugu not Telegu. Hope you will make a note of it in future ",http://twitter.com/nagaprabhala/status/357023478085464064,2013-07-15,4,,@SrBachchan,
rampalarjun,arjun rampal,Highly Influential,Thank you sir cant wait to show you the filmRT @SrBachchan: T 1170 -Go to  and (cont)  ,http://twitter.com/rampalarjun/status/357003973246464000,2013-07-15,4,,@SrBachchan,"http://t.co/j4YThOA9lS,http://t.co/lrCeTonbG5"
urfrnd_in_urhan,Urfrnd Ruya,,Dad with @SrBachchan  :-))  ,http://twitter.com/urfrnd_in_urhan/status/357693870827520000,2013-07-17,11,,@SrBachchan,
etcbollywood,ETC bollywood,,"""I am making a documentary with @SrBachchan. It is about him, his life journey. It is a tribute to him."" -- @ShoojitSircar ",http://twitter.com/etcbollywood/status/357851308801277953,2013-07-18,9,,"@SrBachchan,@ShoojitSircar",
abhiash_indofc,AbhishekAishwaryaLuv,,"""@iFaridoon: WWI 6th convocation and felicitation of @SrBachchan  congratulation for amitji :-):-):-) ",http://twitter.com/abhiash_indofc/status/357723791163539456,2013-07-17,5,,@SrBachchan,"http://t.co/JxuMPVMgsw"""
alishacoelho,Alisha Coelho,Influential,"Fab story by @priyankapereira on RD Tailang, the man behind @SrBachchan's lines on #KBC:  ",http://twitter.com/alishacoelho/status/358471880153378816,2013-07-20,5,#KBC,"@priyankapereira,@SrBachchan",http://t.co/jbI175WWTK.
ilanasegev35,ilana segev- SINGER,,@SrBachchan AUR MAIN TUMSE BAHUT PYAAR KARTI HOON MERE AMITJI.. ,http://twitter.com/ilanasegev35/status/356127512042029057,2013-07-13,3,,@SrBachchan,
ilanasegev35,ilana segev- SINGER,,@SrBachchan AUR MAIN TUMSE BAHUT PYAAR KARTI HOON MERE AMITJI.. ,http://twitter.com/ilanasegev35/status/356127512042029057,2013-07-13,3,,@SrBachchan,
shankar_live,Shankar Mahadevan,,@SrBachchan sir my heart fills with joy because I know that as much as a GREAT actor you are your MUSICIANSHIP is equally there !! Too happy ,http://twitter.com/shankar_live/status/357293245719519232,2013-07-16,3,,@SrBachchan,
iamvikramprabhu,Vikram Prabhu,,Dad with @SrBachchan  :-))  ,http://twitter.com/iamvikramprabhu/status/357692413885693953,2013-07-17,9,,@SrBachchan,
sarbjotsinghc,SARBJOT SINGH CHAHAL,,Amitabh ji with Gulzar ji @SrBachchan An old and very beautiful pic  ,http://twitter.com/sarbjotsinghc/status/358231406713253888,2013-07-19,5,,@SrBachchan,http://t.co/TT4GGNGAGS
cameron_tiff,Cameron Bailey,Influential,"Cast Mr. Bachchan! MT ""@SrBachchan: Week after week we witness a film and are overwhelmed. Pity we are not in them."" ",http://twitter.com/cameron_tiff/status/357962503428378624,2013-07-18,3,,,
bloodhelpline,Bloodhelpline,,#Mumbai urgently needs O- bld @Breach Candy Call Atit 9930044046 #ICSL @bloodhelpline @suhelseth @ShashiTharoor @BDUTT @SrBachchan @ndtv ,http://twitter.com/bloodhelpline/status/356017213410525189,2013-07-13,11,"#Mumbai,#ICSL","@Breach,@bloodhelpline,@suhelseth,@ShashiTharoor,@BDUTT,@SrBachchan,@ndtv",
bollyhungama,Bollywood Hungama,Influential,". @SrBachchan -@juniorbachchan , Ranbir-Rishi in Bhushan Kumar's forthcoming films ",http://twitter.com/bollyhungama/status/358110995358547969,2013-07-18,12,,@SrBachchan,
sushma_e,sushma_e,,Injurd Mule rescued by Helicopter in Uttarakhand Disaster Relief  @SrBachchan @BeingSalmanKhan  ,http://twitter.com/sushma_e/status/357920174755680256,2013-07-18,4,,"@SrBachchan,@BeingSalmanKhan","http://t.co/rs8E90ODSB,http://t.co/Divpzotac7"
missmalini,MissMalini,Highly Influential,Amitabh @SrBachchan Shoots a TV Commercial with South Actress Manju Warrier  ,http://twitter.com/missmalini/status/357900399207911424,2013-07-18,4,,@SrBachchan,http://t.co/YXeop8Ssca
abhiash_indofc,AbhishekAishwaryaLuv,,Beautiful paintings of @SrBachchan @SubhashGhai1 as a gift from a Student after the Convocation @whistling_woods  ,http://twitter.com/abhiash_indofc/status/357787340384649216,2013-07-18,9,,"@SrBachchan,@SubhashGhai1,@whistling_woods",http://t.co/YtMAOlo7Av
bollyhungama,Bollywood Hungama,Influential,. @SrBachchan receives Lifetime Achievement award from WWI  ,http://twitter.com/bollyhungama/status/357748844928319488,2013-07-17,6,,@SrBachchan,http://t.co/aocR0OcOGE
mahafreed,महाफ्रीद ईरानी,Influential,@SrBachchan we need one on honking and one on how to use the zebra too. ,http://twitter.com/mahafreed/status/357595435541598208,2013-07-17,2,,@SrBachchan,
madhubasavaraj,Madhu,,@SrBachchan Amit ji u mean the sons of this stars ? ,http://twitter.com/madhubasavaraj/status/357059784874262528,2013-07-16,6,,@SrBachchan,
imidiot13,sumit saurabh,,After @SrBachchan anbody can give justice to the reality shows according to me it's @KapilSharmaK9  outstanding. #comdeynightswithkapil ,http://twitter.com/imidiot13/status/356467496372543488,2013-07-14,8,#comdeynightswithkapil,"@SrBachchan,@KapilSharmaK9",
brynabryne,Sabrina ♑,,« @SrBachchan Talent is God given. Be humble. Fame is man-given. Be grateful. Conceit is self-given. Be careful. » ,http://twitter.com/brynabryne/status/358281417152671744,2013-07-19,2,,@SrBachchan,
bloodhelpline,Bloodhelpline,,#Delhi urg needs ANY bld grp @Safdarjung Hosp Call Ratan 9467724902 via #ICSL @imVkohli @msdhoni @iam_juhi @SrBachchan @bloodhelpline @ndtv ,http://twitter.com/bloodhelpline/status/357376530202116096,2013-07-16,10,"#Delhi,#ICSL","@Safdarjung,@imVkohli,@msdhoni,@iam_juhi,@SrBachchan,@bloodhelpline,@ndtv",
saurabh_bhakri,Saurabh Bhakri,,"“@SrBachchan , Pt.Shivkumar Sharma& Pt. Hariprasad Chaurasiya's presence at 6th #WWIConvocation is truly appreciated""  ",http://twitter.com/saurabh_bhakri/status/357531445411061760,2013-07-17,4,#WWIConvocation,,http://t.co/f16tuqHfPa
kariikaa,Disha,,@SrBachchan Amitji zara yeh apke purana FILMFARE cover dekh lo..bahot handsome lag rahe ho..its from 1972 December 1  ,http://twitter.com/kariikaa/status/358235182752882689,2013-07-19,4,,@SrBachchan,http://t.co/qqJwVmIblJ
whistling_woods,Whistling Woods,,"@SubhashGhai1 “@SrBachchan ,Pt.Shivkumar Sharma & Pt.Hariprasad Chaurasiya's presence at 6th #WWIConvocation is truly appreciated"" ",http://twitter.com/whistling_woods/status/357454526896275456,2013-07-17,3,#WWIConvocation,@SubhashGhai1,
deewanabharat,नमोमय भारत,,"RT @SrBachchan The Police laws were made when India was under the British, as a police state.. that was in the 1870's .. no change since ! ",http://twitter.com/deewanabharat/status/358164536420859904,2013-07-19,2,,@SrBachchan,
pamelasarkar243,Pamela Sarkar,,@SrBachchan Even I have a lesbanese friend with the same name. And in Spanish it means 'frog' :) ,http://twitter.com/pamelasarkar243/status/356134075054039040,2013-07-13,2,,@SrBachchan,
iamrana,Rana Safvi رعنا राना,Influential,"@SrBachchan written Rana pronounced Rana'a, which is my name means grace and beauty in Persian. The plural is ranaaiyaan used in shayri ",http://twitter.com/iamrana/status/356135396880547840,2013-07-13,2,,@SrBachchan,
