Updated On,Merchant id,Merchant Name,averageConversionRate,averageCommission,logo,has_logo,category_id,category_name,domain_id,domain_name,country
2013-10-14T00:02:00+01:00,29757,Bondara,6.72%,24.46%,http://s.skimresources.com/logos/29757_Bondara.jpg,true,1,mature & adult,60397,bondara.co.uk,united kingdom
2013-10-14T00:02:00+01:00,68403,Live-Strip,0.33%,32.98%,http://s.skimresources.com/logos/68403.jpg,false,1,mature & adult,68457,livestrip.com,germany
2013-10-14T00:02:00+01:00,30758,Lovehoney,3.32%,20.55%,http://s.skimresources.com/logos/30758.jpg,false,1,mature & adult,33676,lovehoney.co.uk,united kingdom
2013-10-14T00:02:00+01:00,29432,Beate Uhse DE PUBLIC,1.35%,20%,http://s.skimresources.com/logos/29432.jpg,false,1,mature & adult,27531,shop.beate-uhse.com,germany
2013-10-14T00:02:00+01:00,36229,adultvideoscript.com,3.94%,20%,http://s.skimresources.com/logos/36229.jpg,false,1,mature & adult,34874,adultvideoscript.com,united states
2013-10-14T00:02:00+01:00,68410,lovershop,1.82%,20%,http://s.skimresources.com/logos/68410.jpg,false,1,mature & adult,68464,lovershop.de,germany
2013-10-14T00:02:00+01:00,1422,Sexshop 365,0.27%,18.01%,http://s.skimresources.com/logos/1422.jpg,false,1,mature & adult,60809,sexshop365.co.uk,united kingdom
2013-10-14T00:02:00+01:00,30746,Honeylicious,0.96%,16.99%,http://s.skimresources.com/logos/30746.jpg,false,1,mature & adult,33664,honeylicious.co.uk,international
2013-10-14T00:02:00+01:00,17381,passion8,0.15%,16%,http://s.skimresources.com/logos/17381.jpg,false,22,fashion & accessories;lingerie & sleepwear,8713,passion8.co.uk,"united kingdom,germany,united states,sweden,france,denmark,belgium,gibraltar,ireland,czech republic,canada,netherlands,spain,australia,liechtenstein,costa rica,cyprus,hong kong,united arab emirates,finland,china,italy,taiwan,el salvador,luxembourg"
2013-10-14T00:02:00+01:00,37711,U Star Novels Limited,4.2%,14%,http://s.skimresources.com/logos/37711.jpg,false,1,mature & adult,36968,ustarnovels.com,united states
2013-10-14T00:02:00+01:00,17738,*NEW!* High Commission Payout!,1.84%,10.5%,http://s.skimresources.com/logos/17738.jpg,false,37,health & beauty,9682,mykegelsecret.com,united states
2013-10-14T00:02:00+01:00,7996,BananaShoes Limited,0.51%,10.01%,http://s.skimresources.com/logos/7996.jpg,false,24,fashion & accessories;shoes,3011,bananashoes.com,united kingdom
2013-10-14T00:02:00+01:00,8119,Findmeagift.com,0.9%,10.01%,http://s.skimresources.com/logos/8119.jpg,false,32,games - pc & video,3134,find-me-a-gift.co.uk,united kingdom
2013-10-14T00:02:00+01:00,7928,PartyBox,1.74%,7.5%,http://s.skimresources.com/logos/7928.jpg,false,54,"toys, games & costumes",2943,partybox.co.uk,united kingdom
2013-10-14T00:02:00+01:00,8082,Jokers Masquerade,1.08%,7.5%,http://s.skimresources.com/logos/8082.jpg,false,54,"toys, games & costumes",3097,joke.co.uk,united kingdom
2013-10-14T00:02:00+01:00,21577,Kondomeriet,1.07%,7.5%,http://s.skimresources.com/logos/21577.jpg,false,1,mature & adult,18801,kondomeriet.no,norway
2013-10-14T00:02:00+01:00,30823,Amazon DE,10.73%,7.13%,http://s.skimresources.com/logos/30823.jpg,false,1,mature & adult,28970,amazon.de,germany
2013-10-14T00:02:00+01:00,1417,Everyonedoesit.com,1.52%,5%,http://s.skimresources.com/logos/1417.jpg,false,1,mature & adult,60516,everyonedoesit.com,united kingdom
2013-10-14T00:02:00+01:00,1423,Shytobuy.co.uk,0,0,http://s.skimresources.com/logos/1423.jpg,false,1,mature & adult,60818,shytobuy.co.uk,united kingdom
2013-10-14T00:02:00+01:00,1491,Ann Summers,0,0,http://s.skimresources.com/logos/1491.jpg,false,15,department stores,1290,annsummers.com,united kingdom
2013-10-14T00:02:00+01:00,1718,Knickerbox,0,0,http://s.skimresources.com/logos/1718.jpg,false,15,department stores,1517,knickerbox.co.uk,united kingdom
2013-10-14T00:02:00+01:00,8043,Party Delights,0,0,http://s.skimresources.com/logos/8043.jpg,false,40,home & garden,3058,partydelights.co.uk,united kingdom
2013-10-14T00:02:00+01:00,10500,Spencer Gifts,0,0,http://s.skimresources.com/logos/10500.jpg,false,33,gifts,4543,spencersonline.com,united states
2013-10-14T00:02:00+01:00,19448,"PFF Entertainment, LLC",0,0,http://s.skimresources.com/logos/19448.jpg,false,33,gifts,11392,sexyslang.com,united states
2013-10-14T00:02:00+01:00,19708,"JED Distributors, Llc.",0,0,http://s.skimresources.com/logos/19708.jpg,false,1,mature & adult,11652,simply4lovers.com,united states
2013-10-14T00:02:00+01:00,24036,Woodbrass España,0,0,http://s.skimresources.com/logos/24036.jpg,false,47,"music, mp3 & movies ",21317,es.woodbrass.com,spain
2013-10-14T00:02:00+01:00,27007,BM Web Enterprises.com,0,0,http://s.skimresources.com/logos/27007.jpg,false,1,mature & adult,24530,deepmemories.com,united states
